ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
BANGKALAN,2026,5,0.3214285714285714,261.7220122940683,302.8138483969308,4.577510620988882,2.9158456114977853,267.50945859581856,267.50945859581856,564.535860690999,4.577510620988882,1.0760798981350397,1.209034621403401,0.7063474324975055,0.7064070780215815,⚠️ WASPADA,86.8,0.1,total_hujan_lag2
BANGKALAN,2026,6,0.3214285714285714,186.9086350256545,261.7220122940683,8.37123745819398,4.577510620988882,266.74882497945777,267.50945859581856,448.6306473197228,8.37123745819398,0.9268073408155388,1.0760798981350397,0.7246118989372419,0.7063474324975055,⚠️ WASPADA,65.4,1.0,total_hujan_lag2
BANGKALAN,2026,7,0.3214285714285714,115.4178520252652,186.9086350256545,15.0,8.37123745819398,241.72856203779784,266.74882497945777,302.3264870509197,15.0,1.0,0.9268073408155388,0.705347045511388,0.7246118989372419,✅ AMAN,42.0,0.7,total_hujan_lag2
BANYUWANGI,2026,5,0.238095238095238,268.3501802436135,487.0850263494384,8.1324905434999,3.09001924480722,280.4291399798589,276.68968311513925,755.4352065930519,8.1324905434999,0.9759632971616282,1.585928856921266,0.5082656451795302,0.5188996823756478,✅ AMAN,26.3,0.0,probabilitas_risiko_historis
BANYUWANGI,2026,6,0.238095238095238,191.695252174016,268.3501802436135,10.38323710929723,8.1324905434999,280.2367593152064,280.4291399798589,460.0454324176295,10.38323710929723,1.1424791114011643,0.9759632971616282,0.5308481944424748,0.5082656451795302,✅ AMAN,20.6,0.3,probabilitas_risiko_historis
BANYUWANGI,2026,7,0.238095238095238,134.1569203752286,191.695252174016,15.0,10.38323710929723,266.71324941255466,280.2367593152064,325.8521725492446,15.0,1.0,1.1424791114011643,0.5503535530087511,0.5308481944424748,✅ AMAN,22.5,1.6,probabilitas_risiko_historis
BATU,2026,5,0.238095238095238,503.56944626864527,549.812947942854,3.487334137515078,2.0,249.53932448733408,249.53932448733408,1053.382394211499,3.487334137515078,1.159232563631065,1.2320759302982311,0.429896635600574,0.4285140073693619,✅ AMAN,5.3,0.0,probabilitas_risiko_historis
BATU,2026,6,0.238095238095238,195.4287483134229,503.56944626864527,7.957780458383595,3.487334137515078,249.53932448733408,249.53932448733408,698.9981945820682,7.957780458383595,0.8557855140109617,1.159232563631065,0.4448276149968799,0.429896635600574,✅ AMAN,43.0,0.6,probabilitas_risiko_historis
BATU,2026,7,0.238095238095238,157.1137334440805,195.4287483134229,15.0,7.957780458383595,248.86827503015675,249.53932448733408,352.5424817575034,15.0,1.0,0.8557855140109617,0.4769482180861106,0.4448276149968799,✅ AMAN,22.1,0.5,probabilitas_risiko_historis
BLITAR,2026,5,0.3571428571428571,287.94481439104084,412.7835965580549,3.4737561334404368,1.8782264074249715,264.03371117907227,264.03371117907227,700.7284109490957,3.4737561334404368,0.9263027877385124,1.278241469612985,0.5760636300094583,0.5734556074530126,⚠️ WASPADA,82.8,0.0,probabilitas_risiko_historis
